"","logFC.Agegroup.","Pvalues","adjPvalues"
"NM_022159.4",-0.258555741031102,0.359607082570215,0.59278100296329
"NM_012137.4",-0.293884786460071,0.24657508630446,0.568326235965891
"NR_135038.1",0.0223537906752526,0.938949331949616,0.947306807960587
"NM_183242.4",-0.251722513036906,0.397636542220396,0.605829644282888
"NM_001252273.1",-0.277453502435125,0.209109021933034,0.560505105142553
"XR_001737248.1",-0.199044641825589,0.612928329804976,0.703644053009454
"NM_001024948.2",-0.323629956992352,0.0230962934970239,0.416487365749303
"NM_000350.3",-0.319669528980764,0.499842974587982,0.649945572312558
"NR_046105.1",-0.261700773799384,0.308836751196001,0.578010053867959
"XM_011540838.3",-0.177216976013719,0.672584458188249,0.741492084678168
"XR_246276.3",-0.247463793730983,0.406843561616026,0.608272101793166
"NR_109849.1",-0.296104816328904,0.0568009806243784,0.545909611026749
"XM_017000240.1",-0.334015391365436,0.345615846387086,0.591021307642899
"NM_017619.4",-0.219893749199537,0.346552340975119,0.591021307642899
"NM_007269.4",-0.31428468722569,0.204956515540288,0.560505105142553
"NM_006496.4",-0.29573158770008,0.0581263652765429,0.545909611026749
"NM_004978.5",-0.271426110640219,0.161847078621449,0.549307502251699
"NM_001232.3",-0.269309086825657,0.549740929093162,0.672395062998806
"NM_018420.3",-0.345244671210158,0.288113898276494,0.576279778478858
"NM_006784.3",-0.280511154818217,0.0642376163927196,0.545909611026749
"NM_024408.4",-0.302752159506492,0.352224324829807,0.591021307642899
"NR_120535.1",-0.0099217923696582,0.978040938542903,0.979899368379485
"NM_001170755.2",-0.104776439831645,0.647930876438793,0.72436374004337
"NM_001278267.1",-0.0835518149401462,0.528772167237798,0.661730842616796
"NM_001348451.2",-0.243246336245255,0.117315756363636,0.549307502251699
"NM_001364012.2",0.023696884690203,0.939008396656623,0.947306807960587
"NM_001351365.1",0.0180787677135755,0.926006205646201,0.93633821351952
"XR_002958010.1",-0.291170919272164,0.14711037123999,0.549307502251699
"XR_001737540.2",-0.288014669086699,0.123668827387152,0.549307502251699
"XM_017000123.2",-0.155300717051783,0.566377725982304,0.679840813472136
"NM_002016.2",-0.253383973456389,0.578291253014148,0.685097730701117
"NM_020699.4",0.659094663725341,0.00294922688629503,0.0972466448125242
"NR_145426.1",-0.160486934302092,0.426321641201035,0.618354480456337
"NM_001282625.1",-0.0869306796344552,0.666896105375096,0.738308343419652
"NM_002241.5",-0.274921140444329,0.558553702431576,0.675904751534141
"XM_017000417.2",-0.345151505561451,0.38739219385865,0.603353107172641
"XR_001737762.2",-0.262716549739247,0.264056372712689,0.570619246639045
"XR_002958633.1",-0.287635704169023,0.462431059306505,0.631094804411544
"NM_006996.3",-0.255945455681831,0.208332830994521,0.560505105142553
"XR_001738304.1",-0.256488850923416,0.240231058029536,0.568326235965891
"NM_001328662.2",-0.310377120958558,0.192817704532964,0.558773997767035
"NM_002293.4",-0.240214272157739,0.0420831735630552,0.516030458067061
"NM_015039.4",-0.414293590264834,0.38897883485024,0.60391864172086
"NM_024529.4",-0.323804498057906,0.0708060384696087,0.549307502251699
"XM_017001185.2",-0.269241871799556,0.264950206852784,0.570619246639045
"XM_017000799.1",-0.107247672942294,0.792207513395497,0.827445268808551
"NM_018085.5",-0.281449923649155,0.106621849291478,0.549307502251699
"NM_005686.3",-0.182259649011107,0.365950155955535,0.597049480883855
"NM_025179.4",-0.183330572742528,0.593683810225181,0.691994794876618
"XR_002956815.1",-0.166637987077734,0.607927250138875,0.700823712037636
"NM_006243.4",-0.178657533258373,0.514645429316464,0.654929428645626
"NM_020197.3",-0.344331721713409,0.302557805256193,0.576860552397966
"NM_005401.5",-0.265549378441397,0.10094264768254,0.549307502251699
"NM_018040.5",-0.29706215103754,0.141115719869332,0.549307502251699
"XR_002957688.1",-0.279035979020095,0.0959385134655474,0.549307502251699
"NR_136593.1",-0.327691275037997,0.16375830940625,0.549307502251699
"XM_024447367.1",-0.159227189362403,0.51905508209582,0.656399092448326
"NM_001618.4",-0.258311631166203,0.125014716083814,0.549307502251699
"XR_001737316.2",-0.121640060404377,0.592709183406784,0.691275540671495
"NR_102302.2",-0.278916085352695,0.202559052830182,0.559438789746041
"NM_052843.4",-0.216589081931517,0.171544143168253,0.549307502251699
